date,open,high,low,close,volume,bb_upper_21_2,bb_mid_21,bb_lower_21_2,sma_200,sma_89,sma_50,sma_3,sma_2,macd_line_8_21,macd_signal_5,macd_hist,rsi_13,stoch_rsi_raw_21,stoch_rsi_k_3,stoch_rsi_d_5,plus_di_5,minus_di_5,adx_13
2026-01-28,257.6500,258.8550,254.5100,256.4400,41287971,275.743756,259.710952,243.678149,236.066500,265.173483,268.737400,256.706667,257.355000,-4.235515,-5.423378,1.187862,43.405981,81.896794,81.959505,39.360143,32.330448,34.225954,43.875322
2026-01-29,258.0000,259.6500,254.4100,258.2800,67253009,273.727518,258.973810,244.220101,236.367150,265.198202,268.454800,257.663333,257.360000,-3.375295,-4.740684,1.365388,46.939080,97.626382,90.003157,55.754232,29.126419,27.834970,40.674700
2026-01-30,255.1650,261.8999,252.1800,259.4800,92443408,271.673147,258.326190,244.979234,236.651950,265.254944,268.295200,258.066667,258.880000,-2.541296,-4.007554,1.466259,49.180588,100.000000,93.174392,71.815567,27.319869,19.424740,38.845102
2026-02-02,260.0300,270.4900,259.2050,270.0100,73913425,271.246707,258.238095,245.229483,236.991300,265.453820,268.346600,262.590000,264.745000,-0.517532,-2.844214,2.326681,63.741407,100.000000,99.208794,84.768285,42.195505,13.503494,39.819526
2026-02-03,269.2000,271.8750,267.6100,269.4800,64394655,270.901189,258.165238,245.429287,237.367350,265.595506,268.365000,266.323333,269.745000,0.854271,-1.611385,2.465656,62.760891,97.926214,99.308738,92.730917,40.971715,11.803676,41.007890
2026-02-04,272.2850,278.9500,272.2850,276.4900,90545710,273.083638,258.604762,244.125886,237.764900,265.831798,268.569800,271.993333,272.985000,2.727480,-0.165097,2.892577,69.486473,100.000000,99.308738,96.200764,49.707084,8.747484,43.243501
2026-02-05,278.1300,279.5000,273.2300,275.9100,52977441,275.446562,259.250000,243.053438,238.178650,266.073146,268.658200,273.960000,276.200000,3.920708,1.196838,2.723870,68.379521,97.912457,98.612890,97.922710,42.483266,7.203817,45.378867
2026-02-06,277.1200,280.9050,276.9250,278.1200,50453414,278.181943,260.097143,242.012342,238.570550,266.337079,268.702200,276.840000,277.015000,4.975401,2.456359,2.519042,70.330553,100.000000,99.304152,99.148663,40.337671,6.127096,47.551793
2026-02-09,277.9050,278.2000,271.7000,274.6200,44623396,279.939294,260.839048,241.738801,238.920650,266.552472,268.655200,276.216667,276.370000,5.161035,3.357918,1.803117,63.598036,87.502433,95.138296,98.334563,32.448623,20.650024,45.603205
2026-02-10,274.8850,275.3700,272.9400,273.6800,34376898,281.368867,261.520476,241.672086,239.247200,266.738427,268.577800,275.473333,274.150000,5.064593,3.926810,1.137784,61.874706,84.303416,90.601949,96.593205,29.731362,18.920782,43.804509
2026-02-11,274.6950,280.1800,274.4500,275.5000,51931283,282.953331,262.246667,241.540002,239.578300,266.934831,268.510800,274.600000,274.590000,5.133077,4.328899,0.804178,63.925092,88.109546,86.638465,94.059151,39.415026,14.781904,43.931173
2026-02-12,275.5900,275.7200,260.1800,261.7300,81077229,282.980252,262.279048,241.577844,239.836250,266.991461,268.083400,270.303333,268.615000,3.269619,3.975806,-0.706186,44.367604,51.804992,74.739318,89.284436,23.834171,45.238231,42.935533
2026-02-13,262.0100,262.2300,255.4500,255.7800,56290673,282.946295,262.080000,241.213705,240.059100,266.983596,267.475200,264.336667,258.755000,1.104657,3.018756,-1.914099,38.809519,41.487523,60.467354,81.517077,19.607164,49.587895,42.965712
2026-02-17,258.0500,266.2900,255.5400,263.8800,58469094,283.155649,262.350000,241.544351,240.316000,267.048989,267.069800,260.463333,259.830000,0.615196,2.217569,-1.602374,48.351657,59.200589,50.831035,72.655624,24.330285,36.691087,41.218850
2026-02-18,263.6000,266.8200,262.4500,264.3500,34203337,283.363005,262.770000,242.176995,240.571150,267.164831,266.742800,261.336667,264.115000,0.318401,1.584513,-1.266112,48.853026,60.131278,53.606463,65.256527,22.905928,32.408131,39.369603
2026-02-19,262.6000,264.4800,260.0500,260.5800,30845294,282.771285,263.430952,244.090620,240.847300,267.336854,266.378800,262.936667,262.465000,-0.392937,0.925363,-1.318300,45.052652,50.421318,56.584395,59.245713,19.954358,35.213064,38.468780
2026-02-20,258.9700,264.7500,258.1600,264.5800,42070499,282.244482,264.237143,246.229803,241.175750,267.526966,266.112600,263.170000,262.580000,-0.362712,0.496005,-0.858717,49.562569,57.698254,56.083617,55.514573,16.097345,33.950242,38.253631
2026-02-23,263.4900,268.8600,263.3810,268.7800,17542307,281.833267,265.210000,248.586733,241.527100,267.763034,265.944600,264.646667,266.680000,0.217501,0.403170,-0.185669,53.869440,66.470804,58.196792,55.060460,25.952762,28.271108,35.639930
